id,value,color,imagename
CL,,,
CL.2010,,,
CL.2010.Barcelona,3,#6DB33F,Barcelona
CL.2010.Manchester United,1,#FF9900,ManchesterUnited
CL.2009,,,
CL.2009.Internazionale,2,#6DB33F,Inter
CL.2009.Bayern Munich,0,#FF9900,BayernMunich
CL.2008,,,
CL.2008.Barcelona,2,#6DB33F,Barcelona
CL.2008.Manchester United,0,#FF9900,ManchesterUnited
CL.2007,,,
CL.2007.Manchester United,1,#6DB33F,ManchesterUnited
CL.2007.Chelsea,1,#FF9900,Chelsea
CL.2006,,,
CL.2006.AC Milan,2,#6DB33F,Milan
CL.2006.Liverpool,1,#FF9900,Liverpool
